RecordID,Category,Sales,Date,FunnelStage,Leads
178,Electronics,21458,2023-06-27,Qualified Leads,418
179,Sports,36889,2023-06-28,Proposal Sent,846
180,Electronics,31665,2023-06-29,Qualified Leads,126
181,Electronics,43243,2023-06-30,Negotiation,108
182,Groceries,36653,2023-07-01,Qualified Leads,480
183,Electronics,31657,2023-07-02,Qualified Leads,687
184,Clothing,44952,2023-07-03,Initial Contact,1573
185,Clothing,27180,2023-07-04,Qualified Leads,1986
186,Furniture,36896,2023-07-05,Initial Contact,158
187,Sports,17875,2023-07-06,Deal Closed,1809
188,Electronics,6622,2023-07-07,Initial Contact,1057
189,Electronics,45809,2023-07-08,Negotiation,1351
190,Groceries,21725,2023-07-09,Initial Contact,117
191,Clothing,45760,2023-07-10,Deal Closed,1142
192,Sports,20646,2023-07-11,Negotiation,1238
193,Furniture,22029,2023-07-12,Proposal Sent,1562
194,Clothing,34402,2023-07-13,Proposal Sent,354
195,Furniture,9263,2023-07-14,Initial Contact,1982
196,Groceries,35987,2023-07-15,Initial Contact,723
197,Groceries,13646,2023-07-16,Deal Closed,414
198,Electronics,32529,2023-07-17,Deal Closed,1927
199,Sports,16664,2023-07-18,Qualified Leads,870
200,Furniture,40737,2023-07-19,Deal Closed,1452
201,Clothing,40796,2023-07-20,Qualified Leads,392
202,Groceries,29027,2023-07-21,Negotiation,996
203,Electronics,34373,2023-07-22,Initial Contact,948
204,Electronics,41397,2023-07-23,Negotiation,1627
205,Furniture,25609,2023-07-24,Deal Closed,1427
206,Groceries,40835,2023-07-25,Negotiation,1489
207,Sports,43709,2023-07-26,Negotiation,1182
208,Groceries,24250,2023-07-27,Negotiation,1636
209,Furniture,26172,2023-07-28,Deal Closed,811
210,Furniture,16555,2023-07-29,Negotiation,1570
211,Groceries,26874,2023-07-30,Qualified Leads,390
212,Furniture,18081,2023-07-31,Deal Closed,991
213,Groceries,29063,2023-08-01,Negotiation,432
214,Clothing,11819,2023-08-02,Deal Closed,1053
215,Groceries,30712,2023-08-03,Proposal Sent,1606
216,Groceries,29762,2023-08-04,Qualified Leads,349
217,Furniture,16046,2023-08-05,Negotiation,188
218,Furniture,36463,2023-08-06,Proposal Sent,408
219,Electronics,33769,2023-08-07,Proposal Sent,885
220,Electronics,28150,2023-08-08,Deal Closed,1572
221,Clothing,7711,2023-08-09,Proposal Sent,1458
222,Electronics,9853,2023-08-10,Qualified Leads,1677
223,Groceries,34077,2023-08-11,Qualified Leads,1353
224,Furniture,28863,2023-08-12,Initial Contact,1710
225,Electronics,26792,2023-08-13,Qualified Leads,532
226,Electronics,45483,2023-08-14,Proposal Sent,958
227,Clothing,13942,2023-08-15,Qualified Leads,1184
228,Clothing,6762,2023-08-16,Deal Closed,915
229,Groceries,36987,2023-08-17,Initial Contact,188
230,Furniture,20850,2023-08-18,Proposal Sent,1045
231,Clothing,17112,2023-08-19,Initial Contact,484
232,Electronics,29058,2023-08-20,Proposal Sent,558
233,Furniture,43890,2023-08-21,Deal Closed,322
234,Furniture,5481,2023-08-22,Initial Contact,1172
235,Electronics,37921,2023-08-23,Negotiation,1837
236,Clothing,45385,2023-08-24,Proposal Sent,1923
237,Electronics,6524,2023-08-25,Negotiation,153
238,Furniture,39888,2023-08-26,Initial Contact,1287
239,Sports,20048,2023-08-27,Negotiation,1834
240,Sports,40111,2023-08-28,Negotiation,1737
241,Groceries,42904,2023-08-29,Initial Contact,811
242,Electronics,39008,2023-08-30,Deal Closed,836
243,Electronics,5060,2023-08-31,Negotiation,214
244,Groceries,14130,2023-09-01,Negotiation,1048
245,Groceries,23023,2023-09-02,Deal Closed,1926
246,Groceries,18350,2023-09-03,Negotiation,569
247,Furniture,29354,2023-09-04,Negotiation,1357
248,Electronics,33145,2023-09-05,Negotiation,566
249,Furniture,39020,2023-09-06,Qualified Leads,706
250,Groceries,25587,2023-09-07,Deal Closed,662
251,Electronics,46131,2023-09-08,Negotiation,213
252,Furniture,14650,2023-09-09,Deal Closed,1959
253,Furniture,24933,2023-09-10,Proposal Sent,1732
254,Groceries,25581,2023-09-11,Proposal Sent,113
255,Electronics,28393,2023-09-12,Negotiation,1164
256,Groceries,28051,2023-09-13,Deal Closed,1190
257,Electronics,31212,2023-09-14,Deal Closed,1939
258,Sports,9090,2023-09-15,Deal Closed,316
259,Clothing,11960,2023-09-16,Qualified Leads,1895
260,Clothing,40772,2023-09-17,Proposal Sent,1758
261,Clothing,26520,2023-09-18,Deal Closed,1632
262,Groceries,41408,2023-09-19,Deal Closed,1213
263,Sports,33470,2023-09-20,Qualified Leads,295
264,Electronics,25491,2023-09-21,Qualified Leads,1734
265,Furniture,6341,2023-09-22,Deal Closed,1831
266,Electronics,49623,2023-09-23,Initial Contact,444
267,Furniture,29791,2023-09-24,Deal Closed,1560
268,Electronics,5338,2023-09-25,Deal Closed,525
269,Sports,10895,2023-09-26,Qualified Leads,1590
270,Furniture,17254,2023-09-27,Qualified Leads,1026
271,Groceries,16344,2023-09-28,Deal Closed,1257
272,Electronics,6750,2023-09-29,Deal Closed,1093
273,Electronics,7421,2023-09-30,Deal Closed,607
274,Furniture,44887,2023-10-01,Qualified Leads,1067
275,Groceries,10319,2023-10-02,Deal Closed,1597
276,Groceries,20896,2023-10-03,Deal Closed,1655
277,Sports,16918,2023-10-04,Negotiation,1602
278,Groceries,30064,2023-10-05,Initial Contact,932
279,Groceries,32935,2023-10-06,Proposal Sent,196
280,Groceries,42641,2023-10-07,Initial Contact,715
281,Clothing,34711,2023-10-08,Negotiation,1377
282,Sports,9806,2023-10-09,Proposal Sent,669
283,Electronics,46360,2023-10-10,Deal Closed,1821
284,Furniture,17182,2023-10-11,Negotiation,869
285,Electronics,27297,2023-10-12,Deal Closed,913
286,Sports,24541,2023-10-13,Qualified Leads,631
287,Furniture,33921,2023-10-14,Negotiation,1072
288,Sports,21774,2023-10-15,Qualified Leads,744
289,Groceries,49813,2023-10-16,Negotiation,1835
290,Furniture,42198,2023-10-17,Negotiation,1301
291,Groceries,13820,2023-10-18,Qualified Leads,1175
292,Electronics,29070,2023-10-19,Proposal Sent,1660
293,Electronics,9232,2023-10-20,Initial Contact,1490
294,Furniture,16122,2023-10-21,Deal Closed,1289
295,Furniture,20023,2023-10-22,Negotiation,456
296,Sports,13007,2023-10-23,Deal Closed,448
297,Sports,22905,2023-10-24,Qualified Leads,1996
298,Groceries,46786,2023-10-25,Deal Closed,764
299,Furniture,34398,2023-10-26,Qualified Leads,753
300,Electronics,39268,2023-10-27,Deal Closed,810
301,Sports,11737,2023-10-28,Initial Contact,548
302,Sports,41062,2023-10-29,Initial Contact,1827
303,Electronics,30510,2023-10-30,Initial Contact,1538
304,Sports,24426,2023-10-31,Initial Contact,1764
305,Groceries,42265,2023-11-01,Initial Contact,1023
306,Furniture,22850,2023-11-02,Initial Contact,1804
307,Electronics,5614,2023-11-03,Qualified Leads,131
308,Furniture,26776,2023-11-04,Negotiation,653
309,Sports,29077,2023-11-05,Deal Closed,1760
310,Sports,14374,2023-11-06,Initial Contact,1824
311,Electronics,40435,2023-11-07,Qualified Leads,821
312,Groceries,35907,2023-11-08,Qualified Leads,952
313,Clothing,18409,2023-11-09,Qualified Leads,414
314,Electronics,21514,2023-11-10,Negotiation,212
315,Clothing,34866,2023-11-11,Deal Closed,1121
316,Clothing,7983,2023-11-12,Negotiation,560
317,Groceries,36705,2023-11-13,Proposal Sent,1402
318,Clothing,25662,2023-11-14,Qualified Leads,1913
319,Clothing,28510,2023-11-15,Proposal Sent,165
320,Groceries,17651,2023-11-16,Initial Contact,990
321,Clothing,45998,2023-11-17,Initial Contact,1922
322,Clothing,33535,2023-11-18,Negotiation,386
323,Clothing,11640,2023-11-19,Deal Closed,930
324,Electronics,49547,2023-11-20,Proposal Sent,786
325,Electronics,20317,2023-11-21,Deal Closed,1937
326,Electronics,12564,2023-11-22,Negotiation,889
327,Groceries,32345,2023-11-23,Initial Contact,196
328,Sports,33687,2023-11-24,Deal Closed,1648
329,Clothing,18737,2023-11-25,Deal Closed,1879
330,Clothing,14323,2023-11-26,Initial Contact,1396
331,Groceries,20229,2023-11-27,Proposal Sent,492
332,Clothing,49481,2023-11-28,Initial Contact,886
333,Electronics,13502,2023-11-29,Deal Closed,1086
334,Sports,5545,2023-11-30,Proposal Sent,992
335,Furniture,42114,2023-12-01,Proposal Sent,1567
336,Clothing,34430,2023-12-02,Initial Contact,1774
337,Electronics,14996,2023-12-03,Deal Closed,336
338,Furniture,32788,2023-12-04,Negotiation,769
339,Sports,34969,2023-12-05,Deal Closed,1187
340,Furniture,18919,2023-12-06,Qualified Leads,529
341,Electronics,8810,2023-12-07,Negotiation,71
342,Furniture,35586,2023-12-08,Proposal Sent,1422
343,Groceries,44974,2023-12-09,Negotiation,1799
344,Furniture,46773,2023-12-10,Proposal Sent,732
345,Clothing,21371,2023-12-11,Proposal Sent,1908
346,Clothing,34629,2023-12-12,Negotiation,1639
347,Groceries,13436,2023-12-13,Proposal Sent,955
348,Electronics,17984,2023-12-14,Proposal Sent,1883
349,Clothing,38039,2023-12-15,Qualified Leads,369
350,Sports,24895,2023-12-16,Deal Closed,175
351,Clothing,23155,2023-12-17,Deal Closed,326
352,Clothing,15616,2023-12-18,Qualified Leads,1277
353,Electronics,42129,2023-12-19,Negotiation,243
354,Furniture,44837,2023-12-20,Initial Contact,1754
355,Clothing,29574,2023-12-21,Initial Contact,1737
356,Groceries,8430,2023-12-22,Initial Contact,1620
357,Furniture,17676,2023-12-23,Qualified Leads,745
358,Sports,15816,2023-12-24,Qualified Leads,1359
359,Electronics,37733,2023-12-25,Proposal Sent,106
360,Sports,25144,2023-12-26,Initial Contact,1807
361,Furniture,7050,2023-12-27,Negotiation,1376
362,Furniture,49460,2023-12-28,Negotiation,1236
363,Furniture,38933,2023-12-29,Initial Contact,68
364,Sports,29951,2023-12-30,Initial Contact,1443
365,Furniture,37413,2023-12-31,Initial Contact,313
366,Sports,39801,2024-01-01,Qualified Leads,843
367,Furniture,37913,2024-01-02,Qualified Leads,162
368,Groceries,45600,2024-01-03,Qualified Leads,1561
369,Furniture,30280,2024-01-04,Deal Closed,1400
370,Sports,29557,2024-01-05,Negotiation,591
371,Clothing,40400,2024-01-06,Negotiation,696
372,Furniture,9494,2024-01-07,Proposal Sent,628
373,Clothing,20152,2024-01-08,Qualified Leads,1138
374,Groceries,28895,2024-01-09,Deal Closed,1365
375,Electronics,14155,2024-01-10,Deal Closed,74
376,Groceries,36883,2024-01-11,Negotiation,1622
377,Furniture,48194,2024-01-12,Qualified Leads,50
378,Clothing,48001,2024-01-13,Proposal Sent,960
379,Clothing,6828,2024-01-14,Qualified Leads,1622
380,Sports,46898,2024-01-15,Initial Contact,190
381,Clothing,37123,2024-01-16,Qualified Leads,1817
382,Sports,42573,2024-01-17,Initial Contact,697
383,Electronics,5806,2024-01-18,Initial Contact,1974
384,Furniture,45970,2024-01-19,Proposal Sent,237
385,Sports,34757,2024-01-20,Negotiation,1201
386,Electronics,39636,2024-01-21,Qualified Leads,250
387,Clothing,19561,2024-01-22,Initial Contact,1200
388,Clothing,29262,2024-01-23,Qualified Leads,306
389,Electronics,19899,2024-01-24,Negotiation,1749
390,Clothing,20934,2024-01-25,Negotiation,596
391,Electronics,43197,2024-01-26,Deal Closed,243
392,Sports,46844,2024-01-27,Negotiation,752
393,Sports,41332,2024-01-28,Proposal Sent,1177
394,Electronics,39157,2024-01-29,Initial Contact,1608
395,Sports,16593,2024-01-30,Deal Closed,1338
396,Sports,45042,2024-01-31,Proposal Sent,851
397,Sports,22320,2024-02-01,Qualified Leads,991
398,Groceries,32376,2024-02-02,Initial Contact,1457
399,Furniture,48513,2024-02-03,Negotiation,1333
400,Clothing,19199,2024-02-04,Initial Contact,463
401,Groceries,20876,2024-02-05,Qualified Leads,1431
402,Sports,13245,2024-02-06,Deal Closed,1148
403,Electronics,12214,2024-02-07,Deal Closed,1428
404,Sports,5726,2024-02-08,Deal Closed,1657
405,Furniture,16362,2024-02-09,Negotiation,1844
406,Sports,23297,2024-02-10,Proposal Sent,959
407,Electronics,35448,2024-02-11,Proposal Sent,237
408,Furniture,31172,2024-02-12,Initial Contact,1758
409,Sports,47874,2024-02-13,Negotiation,1363
410,Furniture,12657,2024-02-14,Deal Closed,94
411,Clothing,23850,2024-02-15,Deal Closed,1646
412,Clothing,30425,2024-02-16,Qualified Leads,132
413,Sports,31685,2024-02-17,Qualified Leads,1196
414,Furniture,29578,2024-02-18,Deal Closed,407
415,Electronics,33831,2024-02-19,Deal Closed,1601
416,Sports,12906,2024-02-20,Negotiation,1139
417,Clothing,12287,2024-02-21,Proposal Sent,985
418,Clothing,38660,2024-02-22,Qualified Leads,1730
419,Sports,15222,2024-02-23,Proposal Sent,424
420,Furniture,42443,2024-02-24,Negotiation,211
421,Clothing,39701,2024-02-25,Deal Closed,1819
422,Furniture,22764,2024-02-26,Proposal Sent,1453
423,Clothing,49641,2024-02-27,Deal Closed,1729
424,Clothing,22674,2024-02-28,Deal Closed,1431
425,Groceries,23024,2024-02-29,Initial Contact,1261
426,Clothing,28874,2024-03-01,Proposal Sent,371
427,Electronics,48642,2024-03-02,Proposal Sent,499
428,Sports,37284,2024-03-03,Deal Closed,1547
429,Sports,22602,2024-03-04,Negotiation,1086
430,Furniture,42784,2024-03-05,Initial Contact,233
431,Clothing,28265,2024-03-06,Deal Closed,160
432,Electronics,30931,2024-03-07,Qualified Leads,557
433,Furniture,33841,2024-03-08,Qualified Leads,1363
434,Groceries,34192,2024-03-09,Initial Contact,344
435,Furniture,47520,2024-03-10,Negotiation,1524
436,Furniture,20585,2024-03-11,Deal Closed,953
437,Clothing,30559,2024-03-12,Proposal Sent,1288
438,Groceries,45059,2024-03-13,Initial Contact,1023
439,Furniture,38742,2024-03-14,Negotiation,681
440,Electronics,9133,2024-03-15,Proposal Sent,1967
441,Electronics,19663,2024-03-16,Qualified Leads,1640
442,Sports,26754,2024-03-17,Qualified Leads,1100
443,Groceries,8972,2024-03-18,Proposal Sent,1703
444,Groceries,10295,2024-03-19,Initial Contact,782
445,Sports,46873,2024-03-20,Qualified Leads,1304
446,Furniture,34125,2024-03-21,Deal Closed,1638
447,Groceries,45996,2024-03-22,Proposal Sent,1880
448,Electronics,14903,2024-03-23,Proposal Sent,370
449,Electronics,8020,2024-03-24,Qualified Leads,962
450,Clothing,46755,2024-03-25,Initial Contact,1306
451,Groceries,25420,2024-03-26,Deal Closed,1743
452,Furniture,26452,2024-03-27,Initial Contact,486
453,Sports,43001,2024-03-28,Negotiation,830
454,Sports,14516,2024-03-29,Negotiation,1606
455,Furniture,7396,2024-03-30,Qualified Leads,1476
456,Clothing,23546,2024-03-31,Qualified Leads,1126
457,Sports,24129,2024-04-01,Qualified Leads,1860
458,Groceries,6591,2024-04-02,Negotiation,1386
459,Clothing,16303,2024-04-03,Initial Contact,1354
460,Groceries,35561,2024-04-04,Initial Contact,775
461,Electronics,11183,2024-04-05,Qualified Leads,80
462,Clothing,31572,2024-04-06,Deal Closed,386
463,Sports,39080,2024-04-07,Initial Contact,232
464,Clothing,25695,2024-04-08,Negotiation,1096
465,Clothing,12314,2024-04-09,Proposal Sent,593
466,Clothing,24623,2024-04-10,Proposal Sent,1519
467,Clothing,7139,2024-04-11,Proposal Sent,1147
468,Groceries,36290,2024-04-12,Deal Closed,1083
469,Electronics,23088,2024-04-13,Qualified Leads,1557
470,Furniture,44692,2024-04-14,Negotiation,1529
471,Clothing,38130,2024-04-15,Deal Closed,1639
472,Sports,37088,2024-04-16,Negotiation,1637
473,Clothing,31292,2024-04-17,Negotiation,709
474,Sports,25670,2024-04-18,Qualified Leads,209
475,Groceries,8738,2024-04-19,Proposal Sent,1955
476,Sports,7469,2024-04-20,Qualified Leads,1087
477,Furniture,27534,2024-04-21,Deal Closed,1251
478,Electronics,14017,2024-04-22,Deal Closed,461
479,Sports,7808,2024-04-23,Deal Closed,1951
480,Sports,17713,2024-04-24,Qualified Leads,1061
481,Electronics,45329,2024-04-25,Negotiation,102
482,Furniture,7719,2024-04-26,Negotiation,457
483,Clothing,27890,2024-04-27,Initial Contact,896
484,Sports,16700,2024-04-28,Deal Closed,1095
485,Electronics,41509,2024-04-29,Negotiation,1103
486,Groceries,47534,2024-04-30,Initial Contact,752
487,Electronics,41766,2024-05-01,Negotiation,309
488,Groceries,31705,2024-05-02,Deal Closed,1278
489,Furniture,23787,2024-05-03,Proposal Sent,1132
490,Clothing,31588,2024-05-04,Deal Closed,1544
491,Electronics,31123,2024-05-05,Qualified Leads,825
492,Sports,38062,2024-05-06,Negotiation,1539
493,Furniture,15177,2024-05-07,Negotiation,1085
494,Electronics,26727,2024-05-08,Qualified Leads,1704
495,Sports,35220,2024-05-09,Qualified Leads,1363
496,Electronics,14882,2024-05-10,Proposal Sent,899
497,Groceries,6136,2024-05-11,Negotiation,1833
498,Electronics,39832,2024-05-12,Negotiation,403
499,Electronics,36966,2024-05-13,Proposal Sent,1712
500,Electronics,12009,2024-05-14,Initial Contact,1148
501,Furniture,17987,2024-05-15,Proposal Sent,922
502,Electronics,42311,2024-05-16,Deal Closed,1789
503,Sports,36575,2024-05-17,Negotiation,1634
504,Groceries,6007,2024-05-18,Qualified Leads,1664
505,Groceries,10445,2024-05-19,Deal Closed,1514
506,Electronics,15706,2024-05-20,Negotiation,1040
507,Furniture,49486,2024-05-21,Proposal Sent,1314
508,Furniture,34257,2024-05-22,Deal Closed,1067
509,Sports,26736,2024-05-23,Negotiation,1934
510,Electronics,47207,2024-05-24,Initial Contact,1227
511,Groceries,18281,2024-05-25,Initial Contact,1859
512,Furniture,6435,2024-05-26,Qualified Leads,1169
513,Electronics,38339,2024-05-27,Negotiation,1799
514,Furniture,40150,2024-05-28,Initial Contact,343
515,Furniture,30821,2024-05-29,Proposal Sent,258
516,Groceries,31660,2024-05-30,Negotiation,1416
517,Clothing,10084,2024-05-31,Proposal Sent,1161
518,Sports,21661,2024-06-01,Proposal Sent,867
519,Sports,18507,2024-06-02,Initial Contact,1849
520,Groceries,12059,2024-06-03,Negotiation,439
521,Furniture,23271,2024-06-04,Deal Closed,374
522,Electronics,12491,2024-06-05,Initial Contact,989
523,Furniture,19859,2024-06-06,Initial Contact,938
524,Groceries,13073,2024-06-07,Negotiation,1905
525,Sports,14077,2024-06-08,Negotiation,1230
