,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,
,Chennai Super Kings,,Delhi Capitals,,Gujarat Titans,,Kolkata Knight Riders,,Lucknow Super Giants,,Mumbai Indians,,Punjab Kings,,Rajasthan Royals,,Royal Challengers Bengaluru,,Sunrisers Hyderabad,,Total Average of Runs_Team_B,Total Average of Runs_Team_A
Row Labels,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,Average of Runs_Team_B,Average of Runs_Team_A,,
Chennai Super Kings,,,175.6785714,189.1160714,163.5789474,186.6666667,170.3434343,193.020202,176.2673267,188,169.0733945,192.4036697,177.2857143,186.3956044,166.7181818,183.0272727,172.7391304,186.0217391,175.5128205,182.042735,171.7661376,187.3417989
Delhi Capitals,165.4830508,186.6016949,,,172.4285714,179.0267857,175.8790323,187.6048387,178.2083333,188.25,170.9913043,183.0869565,176.6981132,183.9056604,170.90625,188.6328125,173.0825688,185.0917431,167.4477612,189.6119403,172.1017274,185.8752399
Gujarat Titans,169.91,181.1,163.6074766,190.9158879,,,173.6460177,186.4424779,171.3781513,187.512605,167.8070175,182.4035088,170.8387097,180.5806452,166.3333333,195.0808081,170.0947368,189.1157895,171.75,177.6928571,169.6320475,185.2245302
Kolkata Knight Riders,173.2150538,182.3010753,166.7615385,182.8846154,171,183.8583333,,,172.1623932,186,165.7927928,184.9459459,175.3982301,184.7345133,175.7121212,183.9015152,167.4594595,177.1891892,177.5,180.7941176,171.585034,183.0340136
Lucknow Super Giants,162.5338983,187.3898305,170.3076923,177.8901099,171.0096154,184.0288462,169.3474576,183.3389831,,,172.7052632,184.6,177.3877551,185.2244898,166.2589286,187.6428571,171.7606838,183.2564103,172.4561404,183.6052632,170.2306101,184.229576
Mumbai Indians,164.592233,187.3592233,165.5691057,181.0162602,169.2824427,189.3282443,168.7572816,192.5631068,171.2598425,185.6220472,,,176.6168224,187.6728972,169.6595745,188.3723404,169.853211,182.5412844,162,186.9690722,168.7122736,186.7142857
Punjab Kings,164.6015625,188.2890625,172.5581395,190.3953488,172.6923077,183.957265,164.622807,189.0526316,172.2479339,187.2892562,169.2357724,183.796748,,,167.1089109,193.0594059,165.96875,186.8645833,161.026087,187.3652174,167.9003831,187.7308429
Rajasthan Royals,167.8793103,195.1637931,166.7058824,190.7254902,174.4835165,187.5054945,166.018018,189.8648649,173.7232143,185.0357143,164.6747967,187.097561,166.2416667,187.9416667,,,170.0096154,188.8846154,169.9245283,185.0849057,168.6680203,188.613198
Royal Challengers Bengaluru,169.6347826,190.973913,177.5566038,180.9245283,169.4257426,187.7029703,175.009009,189.981982,170.8811881,184.9207921,172.1754386,187.9385965,171.7173913,186.0434783,173.8557692,183.9711538,,,174.0377358,187.009434,172.7168421,186.6947368
Sunrisers Hyderabad,169.5752212,186.6017699,168.017094,185.2905983,170.8440367,180.5504587,167.0330579,181.7603306,166.7815126,186.9663866,168.8316832,186,169.1328125,190.515625,162.3303571,181.3035714,169.8053097,181.5752212,,,168.0251694,184.5914811
Grand Total,167.3027888,187.5308765,169.5840708,185.5545723,170.4284284,184.7437437,170.1104536,187.9842209,172.3622902,186.5962488,168.9393035,185.7890547,173.1818182,185.9152196,168.9364919,187.0231855,170.102537,184.3150106,170.1988361,184.3656644,170.1098,185.9886
