txn_id,timestamp,customer_id,amount,channel,city
83,2024-06-22T21:34:00,10064,275.08,Online,Chennai
84,2024-06-12T00:26:00,10052,292.0,Online,Ahmedabad
85,2024-06-23T19:31:00,10097,281.71,Online,Ahmedabad
86,2024-06-14T09:49:00,10011,146.61,Online,Delhi
87,2024-06-28T15:02:00,10037,194.05,Store,Chennai
88,2024-06-30T23:38:00,10077,311.43,Online,Mumbai
89,2024-06-23T06:55:00,10015,155.43,Store,Chennai
90,2024-06-05T20:42:00,10055,203.59,Store,Chennai
91,2024-06-24T20:11:00,10073,243.2,Store,Ahmedabad
92,2024-06-22T13:22:00,10030,63.77,Online,Chennai
93,2024-06-05T05:46:00,10121,361.51,Online,Chennai
94,2024-06-22T05:19:00,10019,460.75,Store,Chennai
95,2024-06-18T22:32:00,10053,295.76,Online,Delhi
96,2024-06-27T19:07:00,10023,249.23,Online,Chennai
97,2024-06-17T16:43:00,10033,131.11,Store,Delhi
98,2024-06-17T22:52:00,10059,608.23,Store,Ahmedabad
99,2024-06-19T06:26:00,10006,210.0,Online,Mumbai
100,2024-06-23T17:03:00,10115,63.63,Store,Chennai
101,2024-06-07T17:41:00,10106,195.01,Store,Kolkata
102,2024-06-15T17:14:00,10030,50.0,Store,Mumbai
103,2024-06-16T02:29:00,10086,117.82,Store,Delhi
104,2024-06-10T05:48:00,10003,96.57,Store,Chennai
105,2024-06-18T06:33:00,10016,309.54,Store,Kolkata
106,2024-06-28T03:32:00,10019,235.85,Store,Kolkata
107,2024-06-13T20:32:00,10012,250.96,Store,Delhi
108,2024-06-03T16:22:00,10073,130.22,Online,Hyderabad
109,2024-06-13T10:14:00,10111,594.36,Store,Hyderabad
110,2024-06-18T07:47:00,10109,311.01,Online,Kolkata
111,2024-06-26T13:16:00,10140,637.69,Online,Delhi
112,2024-06-03T14:02:00,10105,127.19,Store,Bengaluru
113,2024-06-30T15:57:00,10073,85.23,Store,Mumbai
114,2024-06-26T08:51:00,10032,234.93,Online,Ahmedabad
115,2024-06-20T05:08:00,10087,136.69,Store,Chennai
116,2024-06-12T23:20:00,10066,347.39,Store,Hyderabad
117,2024-06-15T00:35:00,10123,320.94,Store,Delhi
118,2024-06-08T22:46:00,10041,256.43,Online,Hyderabad
119,2024-06-24T02:47:00,10127,184.22,Online,Ahmedabad
120,2024-06-16T11:32:00,10115,155.71,Store,Bengaluru
